[0] 2023-06-29: Rover at (26, 16), Steps: 0, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (27, 16), Steps: 1, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (28, 16), Steps: 2, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (29, 16), Steps: 3, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (29, 15), Steps: 4, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (29, 14), Steps: 5, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (30, 14), Steps: 6, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (30, 13), Steps: 7, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (30, 12), Steps: 8, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (31, 12), Steps: 9, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (32, 12), Steps: 10, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (33, 12), Steps: 11, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (33, 13), Steps: 12, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (33, 14), Steps: 13, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (32, 14), Steps: 14, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (32, 15), Steps: 15, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (32, 16), Steps: 16, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (32, 17), Steps: 17, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (32, 18), Steps: 18, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (33, 18), Steps: 19, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (33, 17), Steps: 20, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (33, 16), Steps: 21, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (34, 16), Steps: 22, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (35, 16), Steps: 23, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (35, 15), Steps: 24, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (34, 15), Steps: 25, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (33, 15), Steps: 26, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (33, 16), Steps: 27, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (33, 17), Steps: 28, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (34, 17), Steps: 29, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (35, 17), Steps: 30, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (36, 17), Steps: 31, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (36, 16), Steps: 32, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (37, 16), Steps: 33, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (38, 16), Steps: 34, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (39, 16), Steps: 35, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (39, 17), Steps: 36, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (38, 17), Steps: 37, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (37, 17), Steps: 38, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (37, 18), Steps: 39, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (37, 19), Steps: 40, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (37, 20), Steps: 41, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (37, 21), Steps: 42, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (37, 22), Steps: 43, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (37, 23), Steps: 44, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (38, 23), Steps: 45, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (38, 24), Steps: 46, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (38, 25), Steps: 47, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (39, 25), Steps: 48, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
